QUERYID	BIN_ID	GCF_final	CONTIG	LENGTH	NB_GENE	TYPE	detector	deepbgc_score	cat_name	anno_taxon	in_curated_db	in_HRGM	novel
opera_contig_1_584365-593298.1	TLL103_bin.7	10962	opera_contig_1	8933	12	Saccharide	deepbgc	0.68601	MAG	Bacteroides_UMGS1845	FALSE	FALSE	TRUE
opera_contig_1_598025-600344.1	TLL103_bin.7	10963	opera_contig_1	2319	2	Saccharide	deepbgc	0.65697	MAG	Bacteroides_UMGS1845	FALSE	FALSE	TRUE
opera_contig_10_107206-115567.1	TLL91_bin.78	14509	opera_contig_10	8361	8	Other	deepbgc	0.65105	Isolate	Bacteroides_uniformis	FALSE	FALSE	TRUE
opera_contig_10_114286-117408.1	TLL27_bin.54	798	opera_contig_10	3122	3	RiPP	deepbgc	0.56229	MAG	UBA1691_sp900544715_SGB_14873	FALSE	FALSE	TRUE
opera_contig_10_132-3925.1	TLL41_bin.61	799	opera_contig_10	3793	2	RiPP	deepbgc	0.50926	Isolate	Holdemanella_biformis	FALSE	FALSE	TRUE
opera_contig_10_141513-153806.1	TLL74_bin.73	5596	opera_contig_10	12293	12	NRP	deepbgc	0.77946	MAG	Eggerthellaceae_SGB_14773	FALSE	FALSE	TRUE
opera_contig_10_153636-156877.1	TLL102_bin.53	5888	opera_contig_10	3241	2	Polyketide	deepbgc	0.56028	MAG	Firm-11_sp900540045_SGB_15390	FALSE	FALSE	TRUE
opera_contig_10_157729-160124.1	TLL102_bin.53	800	opera_contig_10	2395	3	RiPP	deepbgc	0.55077	MAG	Firm-11_sp900540045_SGB_15390	FALSE	FALSE	TRUE
opera_contig_10_174279-202795.1	TLL71_bin.58	801	opera_contig_10	28516	29	RiPP	deepbgc	0.82204	MAG	Veillonellaceae_SGB_5822	FALSE	FALSE	TRUE
opera_contig_10_34327-40343.1	TLL55_bin.32	651	opera_contig_10	6016	6	RiPP	deepbgc	0.65831	Novel	NS_160	FALSE	FALSE	TRUE
opera_contig_10_450391-463322.1	TLL09_bin.15	3254	opera_contig_10	12931	14	RiPP	deepbgc	0.75719	Isolate	Bifidobacterium_longum	FALSE	FALSE	TRUE
opera_contig_10_6472-10319.1	TLL41_bin.61	802	opera_contig_10	3847	3	RiPP	deepbgc	0.65121	Isolate	Holdemanella_biformis	FALSE	FALSE	TRUE
opera_contig_10_73686-90738.1	TLL17_bin.56	8684	opera_contig_10	17052	11	Saccharide	deepbgc	0.849	Isolate	Bacteroides_B_vulgatus	FALSE	FALSE	TRUE
opera_contig_100_2-49733.1	TLL63_bin.21	8431	opera_contig_100	49731	44	Saccharide	deepbgc	0.97542	MAG	Enterocloster_sp900538485_ERR526012_bin.10	FALSE	FALSE	TRUE
opera_contig_100_21356-39797.1	TLL66_bin.28	8432	opera_contig_100	18441	19	Saccharide	deepbgc	0.92829	MAG	Eubacteriaceae_SGB_4957	FALSE	FALSE	TRUE
opera_contig_100_244-16012.1	TLL92_bin.35	13402	opera_contig_100	15768	12	Saccharide	deepbgc	0.85125	MAG	Faecalibacterium_SGB_15346	FALSE	FALSE	TRUE
opera_contig_100_29681-35621.1	TLL73_bin.30	13932	opera_contig_100	5940	6	Saccharide	deepbgc	0.8133	Isolate	Faecalibacterium_prausnitzii_K	FALSE	FALSE	TRUE
opera_contig_100_39880-43318.1	TLL33_bin.67	5768	opera_contig_100	3438	3	Polyketide	deepbgc	0.54042	MAG	Eggerthellaceae_SGB_14794	FALSE	FALSE	TRUE
opera_contig_100_57261-65000.1	TLL101_bin.38	12594	opera_contig_100	7739	6	Saccharide	deepbgc	0.7976	MAG	UBA7160_SGB_4781	FALSE	FALSE	TRUE
opera_contig_1000_176-3809.1	TLL30_bin.176	588	opera_contig_1000	3633	4	RiPP	deepbgc	0.53961	MAG	Clostridiales_unclassified_SGB_15131	FALSE	FALSE	TRUE
opera_contig_100041_1207634-1255484.1	TLL105_bin.65	8423	opera_contig_100041	47850	46	Saccharide	deepbgc	0.92622	Isolate	Dialister_sp900343095	FALSE	TRUE	FALSE
opera_contig_100041_206456-224277.1	TLL105_bin.65	6600	opera_contig_100041	17821	24	Polyketide	deepbgc	0.702	Isolate	Dialister_sp900343095	FALSE	FALSE	TRUE
opera_contig_100041_293335-301784.1	TLL105_bin.65	719	opera_contig_100041	8449	12	RiPP	deepbgc	0.90568	Isolate	Dialister_sp900343095	FALSE	FALSE	TRUE
opera_contig_100045_0-18524.1	TLL105_bin.20	5764	opera_contig_100045	18524	19	Polyketide	deepbgc	0.71647	Isolate	Eubacterium_E_hallii	FALSE	FALSE	TRUE
opera_contig_100046_134611-155305.1	TLL105_bin.20	14457	opera_contig_100046	20694	23	Other	deepbgc	0.76872	Isolate	Eubacterium_E_hallii	FALSE	FALSE	TRUE
opera_contig_100047_175231-190355.1	TLL105_bin.20	14277	opera_contig_100047	15124	13	Saccharide	deepbgc	0.89295	Isolate	Eubacterium_E_hallii	FALSE	FALSE	TRUE
opera_contig_100048_281490-287151.1	TLL105_bin.20	587	opera_contig_100048	5661	14	RiPP	deepbgc	0.59273	Isolate	Eubacterium_E_hallii	FALSE	FALSE	TRUE
opera_contig_100049_146794-154480.1	TLL105_bin.20	8424	opera_contig_100049	7686	8	Saccharide	deepbgc	0.76412	Isolate	Eubacterium_E_hallii	FALSE	FALSE	TRUE
opera_contig_100063_50599-73664.1	TLL105_bin.20	14458	opera_contig_100063	23065	30	Other	deepbgc	0.76006	Isolate	Eubacterium_E_hallii	FALSE	FALSE	TRUE
opera_contig_1001_1-13023.1	TLL39_bin.118	589	opera_contig_1001	13022	17	RiPP	deepbgc	0.93879	Isolate	Flavonifractor_sp000508885	FALSE	FALSE	TRUE
opera_contig_1001_204-17953.1	TLL100_bin.69	590	opera_contig_1001	17749	19	RiPP	deepbgc	0.61992	Isolate	Streptococcus_salivarius	FALSE	FALSE	TRUE
opera_contig_100115_346487-392671.1	TLL105_bin.47	8425	opera_contig_100115	46184	40	Saccharide	deepbgc	0.93057	Isolate	Dorea_longicatena	FALSE	TRUE	FALSE
opera_contig_10013_2-2819.1	TLL30_bin.69	6539	opera_contig_10013	2817	3	Polyketide	deepbgc	0.92277	Novel	NS_313	FALSE	FALSE	TRUE
opera_contig_100148_85245-89579.1	TLL105_bin.43	15243	opera_contig_100148	4334	5	Terpene	deepbgc	0.66681	Isolate	Megasphaera_sp000417505	FALSE	FALSE	TRUE
opera_contig_1002_117-8858.1	TLL55_bin.49	8426	opera_contig_1002	8741	9	Saccharide	deepbgc	0.60602	Isolate	Escherichia_flexneri	FALSE	FALSE	TRUE
opera_contig_1002_29-9384.1	TLL64_bin.22	591	opera_contig_1002	9355	12	RiPP	deepbgc	0.80111	MAG	Acetatifactor_sp900066565	FALSE	FALSE	TRUE
opera_contig_1002_827-5711.1	TLL66_bin.28	5765	opera_contig_1002	4884	3	Polyketide	deepbgc	0.54711	MAG	Eubacteriaceae_SGB_4957	FALSE	FALSE	TRUE
opera_contig_10035_1976-4406.1	TLL30_bin.151	10334	opera_contig_10035	2430	3	Saccharide	deepbgc	0.869	Isolate	Bacteroides_intestinalis	FALSE	FALSE	TRUE
opera_contig_1004_1-13319.1	TLL88_bin.29	14459	opera_contig_1004	13318	13	Other	deepbgc	0.72368	Isolate	Bifidobacterium_bifidum	FALSE	FALSE	TRUE
opera_contig_1004_1-8764.1	TLL31_bin.69	593	opera_contig_1004	8763	8	RiPP	deepbgc	0.72944	MAG	Firm-11_sp900540045_SGB_15390	FALSE	FALSE	TRUE
opera_contig_1004_166-12900.1	TLL79_bin.72	8427	opera_contig_1004	12734	25	Saccharide	deepbgc	0.8006	Novel	NS_315	FALSE	FALSE	TRUE
opera_contig_10045_339-3044.1	TLL63_bin.61	592	opera_contig_10045	2705	2	RiPP	deepbgc	0.63955	Isolate	Tyzzerella_nexilis	FALSE	FALSE	TRUE
opera_contig_1005_27-8787.1	TLL86_bin.20	8428	opera_contig_1005	8760	9	Saccharide	deepbgc	0.91043	MAG	Negativibacillus_sp900547455_SRR5279272_bin.55	FALSE	FALSE	TRUE
opera_contig_1005_9-11639.1	TLL64_bin.49	8429	opera_contig_1005	11630	11	Saccharide	deepbgc	0.98439	Isolate	Parabacteroides_distasonis	FALSE	FALSE	TRUE
opera_contig_1006_0-10275.1	TLL23_bin.92	8430	opera_contig_1006	10275	8	Saccharide	deepbgc	0.80166	Isolate	Lachnospira_rogosae	FALSE	FALSE	TRUE
opera_contig_1006_1925-11098.1	TLL28_bin.85	5766	opera_contig_1006	9173	11	Polyketide	deepbgc	0.62569	MAG	Firmicutes_unclassified_SGB_3988	FALSE	FALSE	TRUE
opera_contig_1006_51-10408.1	TLL93_bin.66	5767	opera_contig_1006	10357	10	Polyketide	deepbgc	0.63755	Novel	NS_440	FALSE	FALSE	TRUE
opera_contig_101_36465-40472.1	TLL44_bin.79	599	opera_contig_101	4007	4	RiPP	deepbgc	0.64267	MAG	Eggerthellaceae_SGB_14816	FALSE	FALSE	TRUE
opera_contig_1010_12304-21244.1	TLL81_bin.7	8433	opera_contig_1010	8940	14	Saccharide	deepbgc	0.75784	Isolate	Parabacteroides_sp900155425	FALSE	FALSE	TRUE
opera_contig_10101_2-3786.1	TLL22_bin.66	14460	opera_contig_10101	3784	5	Other	deepbgc	0.60688	Isolate	Anaerostipes_hadrus	FALSE	FALSE	TRUE
opera_contig_1011_1621-4335.1	TLL01_bin.23	14461	opera_contig_1011	2714	3	Terpene	deepbgc	0.61068	MAG	Lachnospiraceae_SGB_4601	FALSE	FALSE	TRUE
opera_contig_10113_1-3731.1	TLL43_bin.54	594	opera_contig_10113	3730	4	RiPP	deepbgc	0.55807	Novel	NS_681	FALSE	FALSE	TRUE
opera_contig_1012_1-20222.1	TLL39_bin.34	8434	opera_contig_1012	20221	29	Saccharide	deepbgc	0.99065	Isolate	Escherichia_flexneri	FALSE	FALSE	TRUE
opera_contig_10121_150-3390.1	TLL102_bin.77	5769	opera_contig_10121	3240	6	Polyketide	deepbgc	0.61251	MAG	Clostridiales_unclassified_SGB_15131	FALSE	FALSE	TRUE
opera_contig_1013_879-14595.1	TLL74_bin.39	5908	opera_contig_1013	13716	12	Polyketide	deepbgc	0.58825	Isolate	Bacteroides_uniformis	FALSE	FALSE	TRUE
opera_contig_1014_1-11830.1	TLL52_bin.74	10144	opera_contig_1014	11829	10	Saccharide	deepbgc	0.98944	MAG	Eisenbergiella_sp900066775	FALSE	FALSE	TRUE
opera_contig_1016_271-11192.1	TLL35_bin.77	595	opera_contig_1016	10921	9	RiPP	deepbgc	0.60763	MAG	Dorea_formicigenerans_SGB_4575	FALSE	FALSE	TRUE
opera_contig_1017_1-10828.1	TLL17_bin.57	4025	opera_contig_1017	10827	11	RiPP	deepbgc	0.83585	Isolate	Bacteroides_uniformis	FALSE	FALSE	TRUE
opera_contig_1017_234-13143.1	TLL71_bin.87	16025	opera_contig_1017	12909	13	Polyketide	deepbgc	0.89791	Novel	NS_313	FALSE	FALSE	TRUE
opera_contig_10178_0-3109.1	TLL48_bin.61	596	opera_contig_10178	3109	2	RiPP	deepbgc	0.55196	Isolate	Lachnospira_rogosae	FALSE	FALSE	TRUE
opera_contig_1018_13275-41657.1	TLL13_bin.94	8435	opera_contig_1018	28382	36	Saccharide	deepbgc	0.68337	Isolate	Turicibacter_sp001543345	FALSE	FALSE	TRUE
opera_contig_1018_2131-9630.1	TLL98_bin.18	8436	opera_contig_1018	7499	11	Saccharide	deepbgc	0.97678	Isolate	Absiella_innocuum	FALSE	FALSE	TRUE
opera_contig_1018_4929-19591.1	TLL51_bin.122	8437	opera_contig_1018	14662	17	Saccharide	deepbgc	0.7718	Isolate	Blautia_A_sp900120195	FALSE	FALSE	TRUE
opera_contig_1019_1-12891.1	TLL67_bin.74	8439	opera_contig_1019	12890	15	Saccharide	deepbgc	0.95792	Isolate	Bacteroides_nordii	FALSE	FALSE	TRUE
opera_contig_1019_2-13846.1	TLL51_bin.118	597	opera_contig_1019	13844	14	RiPP	deepbgc	0.75572	MAG	Coriobacteriaceae_SGB_14370	FALSE	FALSE	TRUE
opera_contig_1019_493-3036.1	TLL92_bin.35	598	opera_contig_1019	2543	2	RiPP	deepbgc	0.56505	MAG	Faecalibacterium_SGB_15346	FALSE	FALSE	TRUE
opera_contig_10196_248-2537.1	TLL04_bin.89	8438	opera_contig_10196	2289	3	Saccharide	deepbgc	0.52794	Isolate	Eubacterium_E_hallii_A	FALSE	FALSE	TRUE
opera_contig_102_24753-43834.1	TLL85_bin.16	8444	opera_contig_102	19081	19	Saccharide	deepbgc	0.90063	Isolate	Bacteroides_B_vulgatus	FALSE	FALSE	TRUE
opera_contig_102_29130-52369.1	TLL31_bin.60	8445	opera_contig_102	23239	30	Saccharide	deepbgc	0.83462	MAG	Blautia_UMGS421	FALSE	FALSE	TRUE
opera_contig_102_89813-97280.1	TLL45_bin.40	5847	opera_contig_102	7467	7	Polyketide	deepbgc	0.77347	MAG	Veillonellaceae_SGB_5823	FALSE	TRUE	FALSE
opera_contig_1020_9217-13815.1	TLL79_bin.72	8440	opera_contig_1020	4598	8	Saccharide	deepbgc	0.84017	Novel	NS_315	FALSE	FALSE	TRUE
opera_contig_10210_2-3189.1	TLL30_bin.184	600	opera_contig_10210	3187	5	RiPP	deepbgc	0.73681	Novel	NS_553	FALSE	FALSE	TRUE
opera_contig_1022_1093-10171.1	TLL41_bin.42	601	opera_contig_1022	9078	12	RiPP	deepbgc	0.83566	MAG	Succinivibrionaceae_SGB_3673	FALSE	FALSE	TRUE
opera_contig_1022_836-4198.1	TLL59_bin.10	5770	opera_contig_1022	3362	4	Polyketide	deepbgc	0.57686	MAG	CAG-41_sp900066215	FALSE	FALSE	TRUE
opera_contig_10226_1-2986.1	TLL81_bin.74	8441	opera_contig_10226	2985	5	Saccharide	deepbgc	0.69869	MAG	Firmicutes_unclassified_SGB_15267	FALSE	FALSE	TRUE
opera_contig_1023_2-11787.1	TLL60_bin.18	602	opera_contig_1023	11785	15	RiPP	deepbgc	0.886	Isolate	Roseburia_hominis	FALSE	FALSE	TRUE
opera_contig_1024_0-7410.1	TLL63_bin.86	15792	opera_contig_1024	7410	4	Terpene	deepbgc	0.64485	Isolate	Flavonifractor_sp000508885	FALSE	TRUE	FALSE
opera_contig_1024_3005-5521.1	TLL81_bin.64	2448	opera_contig_1024	2516	3	RiPP	deepbgc	0.55459	MAG	KLE1615_sp900066985	FALSE	FALSE	TRUE
opera_contig_1025_0-9167.1	TLL64_bin.19	14030	opera_contig_1025	9167	8	Saccharide	deepbgc	0.91531	Isolate	Collinsella_sp002232035	FALSE	FALSE	TRUE
opera_contig_1025_2-4277.1	TLL26_bin.82	5771	opera_contig_1025	4275	7	Polyketide	deepbgc	0.69395	MAG	Clostridiales_UMGS1621	FALSE	FALSE	TRUE
opera_contig_1026_2536-13766.1	TLL100_bin.10	8442	opera_contig_1026	11230	15	Saccharide	deepbgc	0.73678	MAG	Negativibacillus_sp900547455_SRR5279272_bin.55	FALSE	FALSE	TRUE
opera_contig_1027_0-13998.1	TLL82_bin.47	8443	opera_contig_1027	13998	18	Saccharide	deepbgc	0.9924	Isolate	Bacteroides_ovatus	FALSE	FALSE	TRUE
opera_contig_1027_2905-11638.1	TLL81_bin.103	603	opera_contig_1027	8733	9	RiPP	deepbgc	0.60129	Isolate	Bacteroides_uniformis	FALSE	FALSE	TRUE
opera_contig_1028_2-7872.1	TLL70_bin.17	604	opera_contig_1028	7870	12	RiPP	deepbgc	0.80477	MAG	KLE1615_sp900066985	FALSE	FALSE	TRUE
opera_contig_1029_2-7941.1	TLL08_bin.18	6985	opera_contig_1029	7939	8	Polyketide	deepbgc	0.91034	Isolate	Olsenella_B_sp000752675	FALSE	FALSE	TRUE
opera_contig_103_0-10676.1	TLL67_bin.24	8459	opera_contig_103	10676	8	Saccharide	deepbgc	0.91	MAG	Lachnospiraceae_SGB_4798	FALSE	FALSE	TRUE
opera_contig_103_1-18182.1	TLL03_bin.11	5596	opera_contig_103	18181	19	NRP	deepbgc	0.89967	MAG	Eggerthellaceae_SGB_14773	FALSE	FALSE	TRUE
opera_contig_103_15513-41839.1	TLL66_bin.61	1053	opera_contig_103	26326	27	RiPP	deepbgc	0.75617	MAG	Faecalibacterium_SGB_15346	FALSE	FALSE	TRUE
opera_contig_103_3273-8226.1	TLL101_bin.2	615	opera_contig_103	4953	3	RiPP	deepbgc	0.62391	MAG	Ruminococcaceae_SGB_14892	FALSE	FALSE	TRUE
opera_contig_1030_2-10364.1	TLL89_bin.106	605	opera_contig_1030	10362	8	RiPP	deepbgc	0.67698	Isolate	Parabacteroides_merdae	FALSE	FALSE	TRUE
opera_contig_1030_209-7403.1	TLL15_bin.24	8446	opera_contig_1030	7194	8	Saccharide	deepbgc	0.97157	Isolate	Bacteroides_thetaiotaomicron	FALSE	FALSE	TRUE
opera_contig_1030_2533-5722.1	TLL63_bin.8	5772	opera_contig_1030	3189	4	Polyketide	deepbgc	0.57392	Isolate	Olsenella_B_sp000752675	FALSE	FALSE	TRUE
opera_contig_1031_0-16613.1	TLL65_bin.11	5773	opera_contig_1031	16613	14	Polyketide	deepbgc	0.8225	Isolate	Eggerthella_lenta	FALSE	FALSE	TRUE
opera_contig_1031_147-6196.1	TLL97_bin.128	606	opera_contig_1031	6049	4	RiPP	deepbgc	0.57085	MAG	Ruminococcaceae_SGB_15291	FALSE	FALSE	TRUE
opera_contig_1031_51-23330.1	TLL102_bin.61	607	opera_contig_1031	23279	28	RiPP	deepbgc	0.61047	Novel	NS_467	FALSE	FALSE	TRUE
opera_contig_1032_0-9732.1	TLL30_bin.86	5774	opera_contig_1032	9732	7	Polyketide	deepbgc	0.5886	MAG	Prevotellaceae_SGB_2155	FALSE	FALSE	TRUE
opera_contig_1032_2-8606.1	TLL15_bin.32	13849	opera_contig_1032	8604	9	Saccharide	deepbgc	0.98719	Novel	NS_671	FALSE	FALSE	TRUE
opera_contig_1032_2-9704.1	TLL77_bin.19	8447	opera_contig_1032	9702	12	Saccharide	deepbgc	0.99046	Isolate	Eubacterium_G_ventriosum	FALSE	FALSE	TRUE
opera_contig_1032_6932-17384.1	TLL28_bin.29	608	opera_contig_1032	10452	10	RiPP	deepbgc	0.62312	MAG	Blautia_A_sp900066165	FALSE	FALSE	TRUE
opera_contig_1033_12933-15954.1	TLL33_bin.53	8448	opera_contig_1033	3021	6	Saccharide	deepbgc	0.56707	Isolate	Escherichia_flexneri	FALSE	FALSE	TRUE
opera_contig_1033_132-9970.1	TLL35_bin.15	11694	opera_contig_1033	9838	11	Saccharide	deepbgc	0.97889	Isolate	Eubacterium_E_hallii_A	FALSE	FALSE	TRUE
opera_contig_1033_579-6092.1	TLL42_bin.13	1699	opera_contig_1033	5513	7	RiPP	deepbgc	0.78286	MAG	TF01-11_sp000436755	FALSE	FALSE	TRUE
opera_contig_1034_2-4095.1	TLL34_bin.66	13018	opera_contig_1034	4093	4	Saccharide	deepbgc	0.67899	Isolate	Parabacteroides_distasonis	FALSE	FALSE	TRUE
opera_contig_1034_4365-9201.1	TLL01_bin.41	609	opera_contig_1034	4836	6	RiPP	deepbgc	0.54466	Isolate	Blautia_sp002161285	FALSE	FALSE	TRUE
opera_contig_1035_2-10264.1	TLL35_bin.47	8450	opera_contig_1035	10262	11	Saccharide	deepbgc	0.96522	Isolate	Parabacteroides_distasonis	FALSE	FALSE	TRUE
opera_contig_1035_4361-12230.1	TLL56_bin.55	5775	opera_contig_1035	7869	7	Polyketide	deepbgc	0.58103	Isolate	Agathobaculum_butyriciproducens	FALSE	FALSE	TRUE
opera_contig_103569_78378-124373.1	TLL77_bin.10	9014	opera_contig_103569	45995	42	Saccharide	deepbgc	0.85968	Isolate	Faecalicatena_lactaris	FALSE	FALSE	TRUE
opera_contig_103579_59576-63641.1	TLL77_bin.10	8449	opera_contig_103579	4065	3	Saccharide	deepbgc	0.57742	Isolate	Faecalicatena_lactaris	FALSE	FALSE	TRUE
opera_contig_1036_1303-4379.1	TLL64_bin.22	5777	opera_contig_1036	3076	3	Polyketide	deepbgc	0.5532	MAG	Acetatifactor_sp900066565	FALSE	FALSE	TRUE
opera_contig_103619_301849-331273.1	TLL77_bin.7	8471	opera_contig_103619	29424	23	Saccharide	deepbgc	0.8367	Isolate	Faecalicatena_gnavus	FALSE	FALSE	TRUE
opera_contig_103622_115781-122044.1	TLL77_bin.7	622	opera_contig_103622	6263	8	RiPP	deepbgc	0.70261	Isolate	Faecalicatena_gnavus	FALSE	FALSE	TRUE
opera_contig_103622_123553-149013.1	TLL77_bin.7	1005	opera_contig_103622	25460	27	RiPP	deepbgc	0.66806	Isolate	Faecalicatena_gnavus	FALSE	FALSE	TRUE
opera_contig_103623_73235-75896.1	TLL77_bin.7	5504	opera_contig_103623	2661	2	NRP	deepbgc	0.52902	Isolate	Faecalicatena_gnavus	FALSE	FALSE	TRUE
opera_contig_103654_30421-50933.1	TLL77_bin.12	10034	opera_contig_103654	20512	17	Saccharide	deepbgc	0.88408	Isolate	Alistipes_onderdonkii	FALSE	FALSE	TRUE
opera_contig_103655_70-4256.1	TLL77_bin.12	15192	opera_contig_103655	4186	5	Terpene	deepbgc	0.66778	Isolate	Alistipes_onderdonkii	FALSE	FALSE	TRUE
opera_contig_103659_0-2261.1	TLL77_bin.12	8451	opera_contig_103659	2261	2	Saccharide	deepbgc	0.67873000000000006	Isolate	Alistipes_onderdonkii	FALSE	FALSE	TRUE
opera_contig_103675_35865-43399.1	TLL77_bin.12	8745	opera_contig_103675	7534	6	Saccharide	deepbgc	0.63586	Isolate	Alistipes_onderdonkii	FALSE	FALSE	TRUE
opera_contig_103690_164-12015.1	TLL77_bin.12	5776	opera_contig_103690	11851	8	Polyketide	deepbgc	0.6649	Isolate	Alistipes_onderdonkii	FALSE	FALSE	TRUE
opera_contig_1037_18148-21661.1	TLL07_bin.31	5779	opera_contig_1037	3513	3	Polyketide	deepbgc	0.51438	MAG	Collinsella_aerofaciens_SGB_14631	FALSE	FALSE	TRUE
opera_contig_103747_338510-372394.1	TLL77_bin.14	8452	opera_contig_103747	33884	29	Saccharide	deepbgc	0.78116	Isolate	Bifidobacterium_longum	FALSE	FALSE	TRUE
opera_contig_103751_440843-444235.1	TLL77_bin.37	1283	opera_contig_103751	3392	4	RiPP	deepbgc	0.58123	Isolate	Anaerostipes_hadrus	FALSE	FALSE	TRUE
opera_contig_103755_49-15201.1	TLL77_bin.37	8453	opera_contig_103755	15152	14	Saccharide	deepbgc	0.94608	Isolate	Anaerostipes_hadrus	FALSE	FALSE	TRUE
opera_contig_103757_111206-156032.1	TLL77_bin.37	8614	opera_contig_103757	44826	32	Saccharide	deepbgc	0.88494	Isolate	Anaerostipes_hadrus	FALSE	FALSE	TRUE
opera_contig_103777_102342-127949.1	TLL77_bin.56	8454	opera_contig_103777	25607	20	Saccharide	deepbgc	0.91167	MAG	Clostridium_M_sp000431375	FALSE	FALSE	TRUE
opera_contig_103782_33476-85858.1	TLL77_bin.56	8455	opera_contig_103782	52382	46	Saccharide	deepbgc	0.89845	MAG	Clostridium_M_sp000431375	FALSE	FALSE	TRUE
opera_contig_103785_30412-55824.1	TLL77_bin.56	8456	opera_contig_103785	25412	27	Saccharide	deepbgc	0.88859	MAG	Clostridium_M_sp000431375	FALSE	FALSE	TRUE
opera_contig_103785_64445-78051.1	TLL77_bin.56	5778	opera_contig_103785	13606	19	Polyketide	deepbgc	0.75507	MAG	Clostridium_M_sp000431375	FALSE	FALSE	TRUE
opera_contig_103790_63203-66200.1	TLL77_bin.56	610	opera_contig_103790	2997	2	RiPP	deepbgc	0.62655	MAG	Clostridium_M_sp000431375	FALSE	FALSE	TRUE
opera_contig_1038_46-7334.1	TLL32_bin.37	612	opera_contig_1038	7288	13	RiPP	deepbgc	0.72174	Isolate	Klebsiella_quasipneumoniae	FALSE	FALSE	TRUE
opera_contig_103813_7285-14375.1	TLL77_bin.56	1610	opera_contig_103813	7090	7	RiPP	deepbgc	0.59479	MAG	Clostridium_M_sp000431375	FALSE	FALSE	TRUE
opera_contig_103839_88885-100006.1	TLL77_bin.31	13798	opera_contig_103839	11121	7	Saccharide	deepbgc	0.58512	MAG	CAG-81_sp900066535	FALSE	FALSE	TRUE
opera_contig_103847_38224-51110.1	TLL77_bin.31	11448	opera_contig_103847	12886	12	Saccharide	deepbgc	0.71524	MAG	CAG-81_sp900066535	FALSE	FALSE	TRUE
opera_contig_103849_2-5061.1	TLL77_bin.31	611	opera_contig_103849	5059	5	RiPP	deepbgc	0.79432	MAG	CAG-81_sp900066535	FALSE	FALSE	TRUE
opera_contig_103857_17523-27766.1	TLL77_bin.31	8464	opera_contig_103857	10243	8	Saccharide	deepbgc	0.60217	MAG	CAG-81_sp900066535	FALSE	FALSE	TRUE
