BIN_ID	rep_cluster	GCF_final	CONTIG	LENGTH	NB_GENE	TYPE	detector	deepbgc_score	cat_name	anno_taxon	rep_cluster_fmt	in_HRGM	in_curated_db	novel
TLL01_bin.13	opera_contig_133545_33343-41410.1	7465	opera_contig_133545	8067	9	Polyketide	deepbgc	0.87375	Isolate	Enterococcus_A_avium	opera_contig_133545_33343-41410	FALSE	FALSE	TRUE
TLL01_bin.13	opera_contig_133547_392903-410315.1	9244	opera_contig_133547	17412	19	Saccharide	deepbgc	0.86377	Isolate	Enterococcus_A_avium	opera_contig_133547_392903-410315	FALSE	FALSE	TRUE
TLL01_bin.16	opera_contig_21_85477-96591.1	14018	opera_contig_21	11114	9	Saccharide	deepbgc	0.78714	MAG	Coriobacteriaceae_SGB_14370	opera_contig_21_85477-96591	FALSE	FALSE	TRUE
TLL01_bin.16	opera_contig_77_837-20711.1	13934	opera_contig_77	19874	20	Saccharide	deepbgc	0.92274	MAG	Coriobacteriaceae_SGB_14370	opera_contig_77_837-20711	FALSE	FALSE	TRUE
TLL01_bin.17	opera_contig_132830_30-9107.1	10984	opera_contig_132830	9077	8	Saccharide	deepbgc	0.84663	Isolate	Megasphaera_sp000417505	opera_contig_132830_30-9107	FALSE	FALSE	TRUE
TLL01_bin.17	opera_contig_1369_963-7492.1	15152	opera_contig_1369	6529	6	Terpene	deepbgc	0.85274	Isolate	Megasphaera_sp000417505	opera_contig_1369_963-7492	FALSE	FALSE	TRUE
TLL01_bin.20	opera_contig_133873_348815-353696.1	11975	opera_contig_133873	4881	5	Saccharide	deepbgc	0.57873	Isolate	Akkermansia_muciniphila	opera_contig_133873_348815-353696	FALSE	FALSE	TRUE
TLL01_bin.20	opera_contig_3390_2-2248.1	15528	opera_contig_3390	2246	3	Other	deepbgc	0.68815	Isolate	Akkermansia_muciniphila	opera_contig_3390_2-2248	FALSE	FALSE	TRUE
TLL01_bin.23	TLL01_bin.23_opera_contig_37.region001	1	opera_contig_37	20144	13	sactipeptide	antismash	NA	MAG	Lachnospiraceae_SGB_4601	TLL01_bin.23_opera_contig_37.region001	FALSE	FALSE	TRUE
TLL01_bin.23	opera_contig_92_19257-47336.1	14131	opera_contig_92	28079	24	Saccharide	deepbgc	0.94148	MAG	Lachnospiraceae_SGB_4601	opera_contig_92_19257-47336	FALSE	FALSE	TRUE
TLL01_bin.23	opera_contig_663_9329-11564.1	5724	opera_contig_663	2235	2	NRP	deepbgc	0.52899	MAG	Lachnospiraceae_SGB_4601	opera_contig_663_9329-11564	FALSE	FALSE	TRUE
TLL01_bin.23	opera_contig_1066_280-9174.1	684	opera_contig_1066	8894	9	RiPP	deepbgc	0.72013	MAG	Lachnospiraceae_SGB_4601	opera_contig_1066_280-9174	FALSE	FALSE	TRUE
TLL01_bin.23	opera_contig_175_2837-7009.1	10464	opera_contig_175	4172	4	Saccharide	deepbgc	0.54228	MAG	Lachnospiraceae_SGB_4601	opera_contig_175_2837-7009	FALSE	FALSE	TRUE
TLL01_bin.23	opera_contig_1011_1621-4335.1	14461	opera_contig_1011	2714	3	Terpene	deepbgc	0.61068	MAG	Lachnospiraceae_SGB_4601	opera_contig_1011_1621-4335	FALSE	FALSE	TRUE
TLL01_bin.23	opera_contig_25_109-27414.1	11990	opera_contig_25	27305	26	Saccharide	deepbgc	0.90337	MAG	Lachnospiraceae_SGB_4601	opera_contig_25_109-27414	FALSE	FALSE	TRUE
TLL01_bin.23	opera_contig_133785_0-10294.1	1280	opera_contig_133785	10294	8	RiPP	deepbgc	0.59758	MAG	Lachnospiraceae_SGB_4601	opera_contig_133785_0-10294	FALSE	FALSE	TRUE
TLL01_bin.23	TLL01_bin.23_opera_contig_381.region001	5258	opera_contig_381	18647	19	NRPS	antismash	NA	MAG	Lachnospiraceae_SGB_4601	TLL01_bin.23_opera_contig_381.region001	TRUE	FALSE	FALSE
TLL01_bin.23	opera_contig_112_21676-27754.1	847	opera_contig_112	6078	8	RiPP	deepbgc	0.69061	MAG	Lachnospiraceae_SGB_4601	opera_contig_112_21676-27754	FALSE	FALSE	TRUE
TLL01_bin.25	opera_contig_5352_2-2499.1	8006	opera_contig_5352	2497	4	Polyketide	deepbgc	0.8924	Novel	NS_440	opera_contig_5352_2-2499	FALSE	FALSE	TRUE
TLL01_bin.25	opera_contig_1913_0-3475.1	2468	opera_contig_1913	3475	2	RiPP	deepbgc	0.58363	Novel	NS_440	opera_contig_1913_0-3475	FALSE	FALSE	TRUE
TLL01_bin.25	opera_contig_4425_0-2936.1	7884	opera_contig_4425	2936	5	Polyketide	deepbgc	0.62872	Novel	NS_440	opera_contig_4425_0-2936	FALSE	FALSE	TRUE
TLL01_bin.29	opera_contig_132579_69847-84441.1	1263	opera_contig_132579	14594	13	RiPP	deepbgc	0.6841	MAG	Catenibacterium_sp000437715	opera_contig_132579_69847-84441	FALSE	FALSE	TRUE
TLL01_bin.3	opera_contig_131960_656-12770.1	1259	opera_contig_131960	12114	12	RiPP	deepbgc	0.94224	Isolate	Dorea_faecis	opera_contig_131960_656-12770	FALSE	FALSE	TRUE
TLL01_bin.3	opera_contig_4306_0-3012.1	4431	opera_contig_4306	3012	3	RiPP	deepbgc	0.64447	Isolate	Dorea_faecis	opera_contig_4306_0-3012	FALSE	FALSE	TRUE
TLL01_bin.3	opera_contig_133726_2-10256.1	9247	opera_contig_133726	10254	8	Saccharide	deepbgc	0.66007	Isolate	Dorea_faecis	opera_contig_133726_2-10256	FALSE	FALSE	TRUE
TLL01_bin.3	opera_contig_686_85-12459.1	13782	opera_contig_686	12374	14	Saccharide	deepbgc	0.771	Isolate	Dorea_faecis	opera_contig_686_85-12459	FALSE	FALSE	TRUE
TLL01_bin.3	opera_contig_2742_269-2467.1	3583	opera_contig_2742	2198	2	RiPP	deepbgc	0.59414	Isolate	Dorea_faecis	opera_contig_2742_269-2467	FALSE	FALSE	TRUE
TLL01_bin.3	opera_contig_404_0-17707.1	13126	opera_contig_404	17707	17	Saccharide	deepbgc	0.7893	Isolate	Dorea_faecis	opera_contig_404_0-17707	FALSE	FALSE	TRUE
TLL01_bin.3	opera_contig_133820_393-5196.1	1282	opera_contig_133820	4803	6	RiPP	deepbgc	0.86184	Isolate	Dorea_faecis	opera_contig_133820_393-5196	FALSE	FALSE	TRUE
TLL01_bin.30	opera_contig_132995_517-9294.1	1267	opera_contig_132995	8777	8	RiPP	deepbgc	0.75271	Isolate	Eggerthella_lenta	opera_contig_132995_517-9294	FALSE	FALSE	TRUE
TLL01_bin.30	opera_contig_2537_2-4523.1	15303	opera_contig_2537	4521	6	Other	deepbgc	0.91485	Isolate	Eggerthella_lenta	opera_contig_2537_2-4523	FALSE	FALSE	TRUE
TLL01_bin.30	opera_contig_3341_0-3742.1	7597	opera_contig_3341	3742	4	Polyketide	deepbgc	0.58744	Isolate	Eggerthella_lenta	opera_contig_3341_0-3742	FALSE	FALSE	TRUE
TLL01_bin.30	opera_contig_2942_2-4190.1	7426	opera_contig_2942	4188	4	Polyketide	deepbgc	0.67446	Isolate	Eggerthella_lenta	opera_contig_2942_2-4190	FALSE	FALSE	TRUE
TLL01_bin.30	opera_contig_133031_2-9806.1	6116	opera_contig_133031	9804	10	Polyketide	deepbgc	0.65136	Isolate	Eggerthella_lenta	opera_contig_133031_2-9806	FALSE	FALSE	TRUE
TLL01_bin.30	opera_contig_132925_2-24728.1	9235	opera_contig_132925	24726	20	Saccharide	deepbgc	0.95102	Isolate	Eggerthella_lenta	opera_contig_132925_2-24728	FALSE	FALSE	TRUE
TLL01_bin.30	opera_contig_133032_1923-9444.1	1269	opera_contig_133032	7521	6	RiPP	deepbgc	0.71258	Isolate	Eggerthella_lenta	opera_contig_133032_1923-9444	FALSE	FALSE	TRUE
TLL01_bin.30	opera_contig_601_98-13639.1	13589	opera_contig_601	13541	15	Saccharide	deepbgc	0.93017	Isolate	Eggerthella_lenta	opera_contig_601_98-13639	FALSE	FALSE	TRUE
TLL01_bin.30	opera_contig_271_0-22620.1	12166	opera_contig_271	22620	20	Saccharide	deepbgc	0.84216	Isolate	Eggerthella_lenta	opera_contig_271_0-22620	FALSE	FALSE	TRUE
TLL01_bin.30	opera_contig_133064_1-2514.1	6117	opera_contig_133064	2513	2	Polyketide	deepbgc	0.58103	Isolate	Eggerthella_lenta	opera_contig_133064_1-2514	FALSE	FALSE	TRUE
TLL01_bin.32	opera_contig_133505_258-2918.1	6122	opera_contig_133505	2660	2	Polyketide	deepbgc	0.57958	Isolate	Enterococcus_B_faecium	opera_contig_133505_258-2918	FALSE	FALSE	TRUE
TLL01_bin.32	opera_contig_133501_39411-51191.1	6121	opera_contig_133501	11780	13	Polyketide	deepbgc	0.70115	Isolate	Enterococcus_B_faecium	opera_contig_133501_39411-51191	FALSE	FALSE	TRUE
TLL01_bin.32	opera_contig_133515_5962-25517.1	9243	opera_contig_133515	19555	18	Saccharide	deepbgc	0.89272	Isolate	Enterococcus_B_faecium	opera_contig_133515_5962-25517	FALSE	FALSE	TRUE
TLL01_bin.32	TLL01_bin.32_c00028_opera_c...region001	6	opera_contig_133512	10198	12	bacteriocin	antismash	NA	Isolate	Enterococcus_B_faecium	TLL01_bin.32_c00028_opera_c...region001	TRUE	TRUE	FALSE
TLL01_bin.36	opera_contig_134400_358-11769.1	9260	opera_contig_134400	11411	16	Saccharide	deepbgc	0.86765	Isolate	Parabacteroides_merdae	opera_contig_134400_358-11769	FALSE	FALSE	TRUE
TLL01_bin.36	opera_contig_134509_483-4033.1	6897	opera_contig_134509	3550	2	Polyketide	deepbgc	0.54408	Isolate	Parabacteroides_merdae	opera_contig_134509_483-4033	FALSE	FALSE	TRUE
TLL01_bin.36	opera_contig_134468_213-16283.1	6137	opera_contig_134468	16070	18	Polyketide	deepbgc	0.60025	Isolate	Parabacteroides_merdae	opera_contig_134468_213-16283	FALSE	FALSE	TRUE
TLL01_bin.36	opera_contig_134385_63022-70530.1	6136	opera_contig_134385	7508	6	Polyketide	deepbgc	0.67383	Isolate	Parabacteroides_merdae	opera_contig_134385_63022-70530	FALSE	FALSE	TRUE
TLL01_bin.4	opera_contig_134240_792-9114.1	9254	opera_contig_134240	8322	7	Saccharide	deepbgc	0.81135	Isolate	Allisonella_histaminiformans	opera_contig_134240_792-9114	FALSE	FALSE	TRUE
TLL01_bin.4	opera_contig_134225_601-3371.1	4946	opera_contig_134225	2770	2	RiPP	deepbgc	0.55049	Isolate	Allisonella_histaminiformans	opera_contig_134225_601-3371	FALSE	FALSE	TRUE
TLL01_bin.4	opera_contig_134292_307-4780.1	6131	opera_contig_134292	4473	6	Polyketide	deepbgc	0.6207	Isolate	Allisonella_histaminiformans	opera_contig_134292_307-4780	FALSE	FALSE	TRUE
TLL01_bin.4	opera_contig_134307_1177-3490.1	6134	opera_contig_134307	2313	2	Polyketide	deepbgc	0.55727	Isolate	Allisonella_histaminiformans	opera_contig_134307_1177-3490	FALSE	FALSE	TRUE
TLL01_bin.4	opera_contig_134262_514-5736.1	14651	opera_contig_134262	5222	5	Other	deepbgc	0.61866	Isolate	Allisonella_histaminiformans	opera_contig_134262_514-5736	FALSE	FALSE	TRUE
TLL01_bin.4	opera_contig_134271_1-5165.1	6130	opera_contig_134271	5164	3	Polyketide	deepbgc	0.60679	Isolate	Allisonella_histaminiformans	opera_contig_134271_1-5165	FALSE	FALSE	TRUE
TLL01_bin.4	opera_contig_134317_33-2971.1	6399	opera_contig_134317	2938	4	Polyketide	deepbgc	0.91887	Isolate	Allisonella_histaminiformans	opera_contig_134317_33-2971	FALSE	FALSE	TRUE
TLL01_bin.40	opera_contig_134709_0-12365.1	9264	opera_contig_134709	12365	13	Saccharide	deepbgc	0.74188	Isolate	Acidaminococcus_intestini	opera_contig_134709_0-12365	FALSE	FALSE	TRUE
TLL01_bin.40	opera_contig_1799_0-4393.1	6607	opera_contig_1799	4393	6	Polyketide	deepbgc	0.64363	Isolate	Acidaminococcus_intestini	opera_contig_1799_0-4393	FALSE	FALSE	TRUE
TLL01_bin.41	opera_contig_131991_0-8409.1	9228	opera_contig_131991	8409	6	Saccharide	deepbgc	0.99177	Isolate	Blautia_sp002161285	opera_contig_131991_0-8409	FALSE	FALSE	TRUE
TLL01_bin.41	TLL01_bin.41_c00065_opera_c...region001	428	opera_contig_1942	5996	7	sactipeptide	antismash	NA	Isolate	Blautia_sp002161285	TLL01_bin.41_c00065_opera_c...region001	FALSE	FALSE	TRUE
TLL01_bin.41	opera_contig_604_846-14719.1	13594	opera_contig_604	13873	24	Saccharide	deepbgc	0.99329	Isolate	Blautia_sp002161285	opera_contig_604_846-14719	FALSE	FALSE	TRUE
TLL01_bin.41	opera_contig_131957_339-13586.1	14645	opera_contig_131957	13247	21	Other	deepbgc	0.75221	Isolate	Blautia_sp002161285	opera_contig_131957_339-13586	TRUE	FALSE	FALSE
TLL01_bin.41	opera_contig_131936_0-15678.1	9227	opera_contig_131936	15678	12	Saccharide	deepbgc	0.9459	Isolate	Blautia_sp002161285	opera_contig_131936_0-15678	FALSE	FALSE	TRUE
TLL01_bin.41	opera_contig_131920_7055-10300.1	1258	opera_contig_131920	3245	4	RiPP	deepbgc	0.6793	Isolate	Blautia_sp002161285	opera_contig_131920_7055-10300	FALSE	FALSE	TRUE
TLL01_bin.41	opera_contig_3534_316-2432.1	15586	opera_contig_3534	2116	2	Other	deepbgc	0.69305	Isolate	Blautia_sp002161285	opera_contig_3534_316-2432	FALSE	FALSE	TRUE
TLL01_bin.41	opera_contig_2427_0-4902.1	3249	opera_contig_2427	4902	6	RiPP	deepbgc	0.80863	Isolate	Blautia_sp002161285	opera_contig_2427_0-4902	FALSE	FALSE	TRUE
TLL01_bin.41	opera_contig_131937_1465-4485.1	3210	opera_contig_131937	3020	3	RiPP	deepbgc	0.57032	Isolate	Blautia_sp002161285	opera_contig_131937_1465-4485	FALSE	FALSE	TRUE
TLL01_bin.41	opera_contig_393_77-18414.1	13088	opera_contig_393	18337	19	Saccharide	deepbgc	0.90216	Isolate	Blautia_sp002161285	opera_contig_393_77-18414	FALSE	FALSE	TRUE
TLL01_bin.41	opera_contig_639_3888-6180.1	8135	opera_contig_639	2292	3	Polyketide	deepbgc	0.60999	Isolate	Blautia_sp002161285	opera_contig_639_3888-6180	FALSE	FALSE	TRUE
TLL01_bin.41	opera_contig_1410_1-3888.1	1382	opera_contig_1410	3887	3	RiPP	deepbgc	0.59612	Isolate	Blautia_sp002161285	opera_contig_1410_1-3888	FALSE	FALSE	TRUE
TLL01_bin.41	opera_contig_597_1-13801.1	4735	opera_contig_597	13800	19	RiPP	deepbgc	0.74829	Isolate	Blautia_sp002161285	opera_contig_597_1-13801	FALSE	FALSE	TRUE
TLL01_bin.41	opera_contig_598_854-13706.1	13578	opera_contig_598	12852	12	Saccharide	deepbgc	0.9826	Isolate	Blautia_sp002161285	opera_contig_598_854-13706	FALSE	FALSE	TRUE
TLL01_bin.41	opera_contig_1820_2724-6102.1	14960	opera_contig_1820	3378	3	Other	deepbgc	0.81068	Isolate	Blautia_sp002161285	opera_contig_1820_2724-6102	FALSE	FALSE	TRUE
TLL01_bin.41	opera_contig_132036_1-4049.1	1262	opera_contig_132036	4048	3	RiPP	deepbgc	0.60657	Isolate	Blautia_sp002161285	opera_contig_132036_1-4049	FALSE	FALSE	TRUE
TLL01_bin.41	opera_contig_725_6714-11756.1	4930	opera_contig_725	5042	3	RiPP	deepbgc	0.53268	Isolate	Blautia_sp002161285	opera_contig_725_6714-11756	FALSE	FALSE	TRUE
TLL01_bin.41	opera_contig_1034_4365-9201.1	609	opera_contig_1034	4836	6	RiPP	deepbgc	0.54466	Isolate	Blautia_sp002161285	opera_contig_1034_4365-9201	FALSE	FALSE	TRUE
TLL01_bin.41	opera_contig_132022_1-5029.1	1261	opera_contig_132022	5028	7	RiPP	deepbgc	0.57344	Isolate	Blautia_sp002161285	opera_contig_132022_1-5029	FALSE	FALSE	TRUE
TLL01_bin.41	opera_contig_131995_2673-6614.1	1260	opera_contig_131995	3941	4	RiPP	deepbgc	0.63485	Isolate	Blautia_sp002161285	opera_contig_131995_2673-6614	FALSE	FALSE	TRUE
TLL01_bin.41	TLL01_bin.41_c00172_opera_c...region001	5259	opera_contig_131928	18256	24	NRPS	antismash	NA	Isolate	Blautia_sp002161285	TLL01_bin.41_c00172_opera_c...region001	TRUE	FALSE	FALSE
TLL01_bin.43	TLL01_bin.43_c00137_opera_c...region001	14420	opera_contig_3475	3597	5	arylpolyene	antismash	NA	Isolate	Bacteroides_B_vulgatus	TLL01_bin.43_c00137_opera_c...region001	FALSE	FALSE	TRUE
TLL01_bin.43	opera_contig_3923_266-3252.1	13085	opera_contig_3923	2986	4	Saccharide	deepbgc	0.69741	Isolate	Bacteroides_B_vulgatus	opera_contig_3923_266-3252	FALSE	FALSE	TRUE
TLL01_bin.43	opera_contig_550_2-12205.1	2760	opera_contig_550	12203	8	RiPP	deepbgc	0.62088	Isolate	Bacteroides_B_vulgatus	opera_contig_550_2-12205	FALSE	FALSE	TRUE
TLL01_bin.43	opera_contig_132602_2-31425.1	9233	opera_contig_132602	31423	31	Saccharide	deepbgc	0.98926	Isolate	Bacteroides_B_vulgatus	opera_contig_132602_2-31425	FALSE	FALSE	TRUE
TLL01_bin.43	opera_contig_132643_8771-16417.1	9234	opera_contig_132643	7646	6	Saccharide	deepbgc	0.71748	Isolate	Bacteroides_B_vulgatus	opera_contig_132643_8771-16417	FALSE	FALSE	TRUE
TLL01_bin.43	opera_contig_545_1-24706.1	4649	opera_contig_545	24705	20	RiPP	deepbgc	0.65598	Isolate	Bacteroides_B_vulgatus	opera_contig_545_1-24706	FALSE	FALSE	TRUE
TLL01_bin.43	opera_contig_132724_893-3861.1	6113	opera_contig_132724	2968	2	Polyketide	deepbgc	0.65704	Isolate	Bacteroides_B_vulgatus	opera_contig_132724_893-3861	FALSE	FALSE	TRUE
TLL01_bin.43	opera_contig_2947_2-3035.1	3722	opera_contig_2947	3033	2	RiPP	deepbgc	0.60127	Isolate	Bacteroides_B_vulgatus	opera_contig_2947_2-3035	FALSE	FALSE	TRUE
TLL01_bin.43	opera_contig_91_556-41076.1	14121	opera_contig_91	40520	36	Saccharide	deepbgc	0.88617	Isolate	Bacteroides_B_vulgatus	opera_contig_91_556-41076	TRUE	FALSE	FALSE
TLL01_bin.43	opera_contig_134486_1-11797.1	10423	opera_contig_134486	11796	13	Saccharide	deepbgc	0.99266	Isolate	Bacteroides_B_vulgatus	opera_contig_134486_1-11797	FALSE	FALSE	TRUE
TLL01_bin.48	TLL01_bin.48_c00003_opera_c...region001	7	opera_contig_132422	17486	15	lassopeptide	antismash	NA	Isolate	Lactobacillus_B_ruminis	TLL01_bin.48_c00003_opera_c...region001	FALSE	TRUE	FALSE
TLL01_bin.48	opera_contig_132422_310922-326036.1	9231	opera_contig_132422	15114	13	Saccharide	deepbgc	0.86987	Isolate	Lactobacillus_B_ruminis	opera_contig_132422_310922-326036	FALSE	FALSE	TRUE
TLL01_bin.49	opera_contig_133686_159199-164100.1	15510	opera_contig_133686	4901	4	Other	deepbgc	0.78077	MAG	CAG-1427_sp000436075	opera_contig_133686_159199-164100	FALSE	FALSE	TRUE
TLL01_bin.49	opera_contig_133690_37120-82348.1	9246	opera_contig_133690	45228	35	Saccharide	deepbgc	0.92551	MAG	CAG-1427_sp000436075	opera_contig_133690_37120-82348	FALSE	FALSE	TRUE
TLL01_bin.5	opera_contig_131546_255326-276471.1	9225	opera_contig_131546	21145	24	Saccharide	deepbgc	0.7971	Isolate	Bifidobacterium_longum	opera_contig_131546_255326-276471	FALSE	FALSE	TRUE
TLL01_bin.5	opera_contig_131542_171501-181866.1	9224	opera_contig_131542	10365	13	Saccharide	deepbgc	0.71895	Isolate	Bifidobacterium_longum	opera_contig_131542_171501-181866	FALSE	FALSE	TRUE
TLL01_bin.7	opera_contig_133214_70-10397.1	6119	opera_contig_133214	10327	15	Polyketide	deepbgc	0.71858	Isolate	Enterococcus_C_asini	opera_contig_133214_70-10397	FALSE	FALSE	TRUE
TLL01_bin.7	opera_contig_133215_1-11212.1	1274	opera_contig_133215	11211	14	RiPP	deepbgc	0.69915	Isolate	Enterococcus_C_asini	opera_contig_133215_1-11212	FALSE	FALSE	TRUE
TLL01_bin.7	opera_contig_133188_6668-22403.1	1271	opera_contig_133188	15735	16	RiPP	deepbgc	0.64923	Isolate	Enterococcus_C_asini	opera_contig_133188_6668-22403	FALSE	FALSE	TRUE
TLL01_bin.7	opera_contig_133200_988-8250.1	6118	opera_contig_133200	7262	11	Polyketide	deepbgc	0.91208	Isolate	Enterococcus_C_asini	opera_contig_133200_988-8250	FALSE	FALSE	TRUE
TLL01_bin.7	opera_contig_4564_2-2854.1	13295	opera_contig_4564	2852	3	Saccharide	deepbgc	0.83882	Isolate	Enterococcus_C_asini	opera_contig_4564_2-2854	FALSE	FALSE	TRUE
TLL01_bin.7	opera_contig_3522_386-2505.1	4191	opera_contig_3522	2119	4	RiPP	deepbgc	0.53811	Isolate	Enterococcus_C_asini	opera_contig_3522_386-2505	FALSE	FALSE	TRUE
TLL01_bin.7	opera_contig_133164_233-18150.1	9241	opera_contig_133164	17917	20	Saccharide	deepbgc	0.94856	Isolate	Enterococcus_C_asini	opera_contig_133164_233-18150	FALSE	FALSE	TRUE
TLL01_bin.7	opera_contig_133158_14204-33675.1	9240	opera_contig_133158	19471	19	Saccharide	deepbgc	0.812	Isolate	Enterococcus_C_asini	opera_contig_133158_14204-33675	FALSE	FALSE	TRUE
TLL02_bin.1	TLL02_bin.1_c00001_opera_c...region001	9	opera_contig_153503	20165	14	lassopeptide	antismash	NA	MAG	Blautia_A_sp000436615	TLL02_bin.1_c00001_opera_c...region001	FALSE	FALSE	TRUE
TLL02_bin.1	opera_contig_153504_140855-145610.1	9728	opera_contig_153504	4755	3	Saccharide	deepbgc	0.68583	MAG	Blautia_A_sp000436615	opera_contig_153504_140855-145610	FALSE	FALSE	TRUE
TLL02_bin.10	opera_contig_152032_266647-294102.1	9664	opera_contig_152032	27455	28	Saccharide	deepbgc	0.91816	Isolate	Lactobacillus_B_ruminis	opera_contig_152032_266647-294102	TRUE	FALSE	FALSE
TLL02_bin.10	opera_contig_152030_381853-384773.1	6296	opera_contig_152030	2920	3	Polyketide	deepbgc	0.6572	Isolate	Lactobacillus_B_ruminis	opera_contig_152030_381853-384773	FALSE	FALSE	TRUE
TLL02_bin.10	TLL02_bin.10_c00002_opera_c...region002	8	opera_contig_152030	18273	12	lassopeptide	antismash	NA	Isolate	Lactobacillus_B_ruminis	TLL02_bin.10_c00002_opera_c...region002	FALSE	FALSE	TRUE
TLL02_bin.10	opera_contig_152030_381-29535.1	11467	opera_contig_152030	29154	29	Saccharide	deepbgc	0.96261	Isolate	Lactobacillus_B_ruminis	opera_contig_152030_381-29535	FALSE	FALSE	TRUE
TLL02_bin.12	opera_contig_19_108461-117002.1	10952	opera_contig_19	8541	8	Saccharide	deepbgc	0.76881	Isolate	Collinsella_sp002232035	opera_contig_19_108461-117002	FALSE	FALSE	TRUE
TLL02_bin.13	opera_contig_152321_154452-183943.1	9680	opera_contig_152321	29491	30	Saccharide	deepbgc	0.78259	Isolate	Bacteroides_B_vulgatus	opera_contig_152321_154452-183943	FALSE	FALSE	TRUE
TLL02_bin.13	opera_contig_152319_108765-118637.1	9679	opera_contig_152319	9872	12	Saccharide	deepbgc	0.7381	Isolate	Bacteroides_B_vulgatus	opera_contig_152319_108765-118637	FALSE	FALSE	TRUE
TLL02_bin.22	opera_contig_5171_973-7809.1	4598	opera_contig_5171	6836	7	RiPP	deepbgc	0.57739	Isolate	Roseburia_inulinivorans	opera_contig_5171_973-7809	FALSE	FALSE	TRUE
TLL02_bin.22	opera_contig_1609_754-6022.1	1825	opera_contig_1609	5268	5	RiPP	deepbgc	0.66238	Isolate	Roseburia_inulinivorans	opera_contig_1609_754-6022	FALSE	FALSE	TRUE
TLL02_bin.22	opera_contig_1493_0-32650.1	1498	opera_contig_1493	32650	43	RiPP	deepbgc	0.74785	Isolate	Roseburia_inulinivorans	opera_contig_1493_0-32650	FALSE	FALSE	TRUE
TLL02_bin.22	opera_contig_152038_194465-198458.1	1556	opera_contig_152038	3993	5	RiPP	deepbgc	0.63496	Isolate	Roseburia_inulinivorans	opera_contig_152038_194465-198458	FALSE	FALSE	TRUE
TLL02_bin.22	opera_contig_268_1712-43567.1	12104	opera_contig_268	41855	42	Saccharide	deepbgc	0.92294	Isolate	Roseburia_inulinivorans	opera_contig_268_1712-43567	FALSE	FALSE	TRUE
TLL02_bin.22	opera_contig_152035_365557-368059.1	7327	opera_contig_152035	2502	3	Polyketide	deepbgc	0.55228	Isolate	Roseburia_inulinivorans	opera_contig_152035_365557-368059	FALSE	FALSE	TRUE
TLL02_bin.22	opera_contig_152034_414807-418037.1	1656	opera_contig_152034	3230	4	RiPP	deepbgc	0.63421	Isolate	Roseburia_inulinivorans	opera_contig_152034_414807-418037	TRUE	FALSE	FALSE
